year,US Pop,US Change,Connecticut Pop,Connecticut Change,Indiana Pop,Indian Change,Maine Pop,Maine Change,Massachusetts Pop,Massachusetts  Change,Michigan Pop,Michigan Change,New Hampshire Pop,New Hampshire Change,New Jersey Pop,New Jersey Change,New York Pop,New York Change,Rhode Island Pop,Rhode Island Change,,Total State,Total_Ratio
1936,"128,053,180",0.63%,"1,672,000",0.36%,"3,348,000",0.48%,"840,000",0.48%,"4,355,000",0.28%,"4,889,000",1.05%,"481,000",0.00%,"4,084,000",-0.02%,"13,481,000",0.79%,"686,000",1.18%,,"33,836,000",0.264233969
1935,"127,250,232",0.69%,"1,666,000",0.97%,"3,332,000",0.39%,"836,000",0.84%,"4,343,000",0.88%,"4,838,000",0.83%,"481,000",0.21%,"4,085,000",-0.10%,"13,375,000",0.92%,"678,000",0.44%,,"33,634,000",0.26431386
1934,"126,373,773",0.63%,"1,650,000",0.49%,"3,319,000",0.45%,"829,000",0.97%,"4,305,000",0.54%,"4,798,000",0.38%,"480,000",0.63%,"4,089,000",-0.44%,"13,253,000",0.97%,"675,000",0.00%,,"33,398,000",0.2642795195
1933,"125,578,763",0.59%,"1,642,000",0.31%,"3,304,000",0.70%,"821,000",0.74%,"4,282,000",0.54%,"4,780,000",0.00%,"477,000",0.63%,"4,107,000",-0.32%,"13,126,000",0.96%,"675,000",-0.30%,,"33,214,000",0.2644873959
1932,"124,840,471",0.65%,"1,637,000",0.55%,"3,281,000",0.74%,"815,000",0.99%,"4,259,000",0.26%,"4,780,000",-0.38%,"474,000",0.85%,"4,120,000",0.00%,"13,001,000",1.19%,"677,000",-0.59%,,"33,044,000",0.2646898056
1931,"124,039,648",0.78%,"1,628,000",0.93%,"3,257,000",0.46%,"807,000",0.88%,"4,248,000",-0.05%,"4,798,000",-0.74%,"470,000",0.86%,"4,120,000",1.28%,"12,848,000",1.59%,"681,000",-0.73%,,"32,857,000",0.2648911097
1930,"123,076,741",1.08%,"1,613,000",1.19%,"3,242,000",0.50%,"800,000",0.38%,"4,250,000",0.50%,"4,834,000",0.81%,"466,000",-0.21%,"4,068,000",1.98%,"12,647,000",3.91%,"686,000",0.29%,,"32,606,000",0.2649241419
1929,"121,767,000",1.04%,"1,594,000",1.08%,"3,226,000",0.44%,"797,000",0.00%,"4,229,000",0.28%,"4,795,000",2.79%,"467,000",-0.21%,"3,989,000",0.53%,"12,171,000",4.93%,"684,000",0.88%,,"31,952,000",0.2624027856
1928,"120,509,000",1.24%,"1,577,000",1.28%,"3,212,000",0.66%,"797,000",0.13%,"4,217,000",-0.14%,"4,665,000",1.66%,"468,000",0.43%,"3,968,000",1.98%,"11,599,000",3.80%,"678,000",0.15%,,"31,181,000",0.2587441602
1927,"119,035,000",1.40%,"1,557,000",1.70%,"3,191,000",1.37%,"796,000",0.38%,"4,223,000",0.69%,"4,589,000",3.10%,"466,000",0.65%,"3,891,000",3.54%,"11,174,000",-0.74%,"677,000",-0.59%,,"30,564,000",0.2567648171
1926,"117,397,000",1.35%,"1,531,000",1.66%,"3,148,000",0.93%,"793,000",0.13%,"4,194,000",0.96%,"4,451,000",2.77%,"463,000",0.87%,"3,758,000",2.57%,"11,257,000",0.63%,"681,000",0.15%,,"30,276,000",0.257894154
1925,"115,829,000",1.51%,"1,506,000",1.69%,"3,119,000",1.07%,"792,000",0.51%,"4,154,000",1.27%,"4,331,000",2.78%,"459,000",0.44%,"3,664,000",2.55%,"11,186,000",2.13%,"680,000",1.64%,,"29,891,000",0.2580614527
1924,"114,109,000",1.93%,"1,481,000",1.79%,"3,086,000",1.45%,"788,000",0.90%,"4,102,000",1.11%,"4,214,000",3.72%,"457,000",0.88%,"3,573,000",2.91%,"10,953,000",1.87%,"669,000",1.98%,,"29,323,000",0.2569735954
1923,"111,947,000",1.72%,"1,455,000",1.68%,"3,042,000",2.60%,"781,000",0.39%,"4,057,000",1.17%,"4,063,000",3.07%,"453,000",0.44%,"3,472,000",2.72%,"10,752,000",1.54%,"656,000",1.86%,,"28,731,000",0.2566482353
1922,"110,049,000",1.39%,"1,431,000",1.13%,"2,965,000",-0.37%,"778,000",0.39%,"4,010,000",1.49%,"3,942,000",1.81%,"451,000",0.45%,"3,380,000",2.52%,"10,589,000",1.66%,"644,000",2.38%,,"28,190,000",0.2561586203
1921,"108,538,000",1.95%,"1,415,000",1.73%,"2,976,000",0.98%,"775,000",0.52%,"3,951,000",1.78%,"3,872,000",4.00%,"449,000",1.13%,"3,297,000",3.10%,"10,416,000",1.30%,"629,000",2.61%,,"27,780,000",0.2559472259
1920,"106,461,000",1.86%,"1,391,000",2.35%,"2,947,000",1.41%,"771,000",1.18%,"3,882,000",2.56%,"3,723,000",3.68%,"444,000",0.23%,"3,198,000",1.98%,"10,282,000",0.29%,"613,000",1.66%,,"27,251,000",0.2559716704
