state_name,state,year,small_pox,,count,,,
Connecticut,CT,1900,0,,10,1900,59,295
Indiana,IN,1900,22,,10,1901,734,3670
Maine,ME,1900,3,,10,1902,1344,6720
Massachusetts,MA,1900,3,,10,1903,319,1595
Michigan,MI,1900,9,,10,1904,175,875
New Hampshire,NH,1900,1,,10,1905,121,605
New Jersey,NJ,1900,5,,15,1906,66,198
New York,NY,1900,15,,15,1907,47,141
Rhode Island,RI,1900,1,,17,1908,58,116
Vermont,VT,1900,0,,18,1909,53,106
Connecticut,CT,1901,4,,21,1910,189,378
Indiana,IN,1901,21,,23,1911,95,190
Maine,ME,1901,0,,23,1912,128,256
Massachusetts,MA,1901,98,,24,1913,115,230
Michigan,MI,1901,26,,25,1914,141,282
New Hampshire,NH,1901,5,,25,1915,87,174
New Jersey,NJ,1901,139,,26,1916,71,71
New York,NY,1901,436,,27,1917,162,162
Rhode Island,RI,1901,5,,30,1918,304,304
Vermont,VT,1901,0,,33,1919,347,347
Connecticut,CT,1902,14,,34,1920,498,498
Indiana,IN,1902,78,,34,1921,619,619
Maine,ME,1902,11,,37,1922,607,607
Massachusetts,MA,1902,283,,38,1923,125,125
Michigan,MI,1902,40,,39,1924,871,871
New Hampshire,NH,1902,7,,39,1925,666,666
New Jersey,NJ,1902,429,,41,1926,376,376
New York,NY,1902,443,,42,1927,138,138
Rhode Island,RI,1902,37,,44,1928,129,129
Vermont,VT,1902,2,,46,1929,137,137
Connecticut,CT,1903,1,,47,1930,165,165
Indiana,IN,1903,195,,47,1931,93,93
Maine,ME,1903,7,,47,1932,38,38
Massachusetts,MA,1903,22,,48,1933,39,39
Michigan,MI,1903,30,,48,1934,24,24
New Hampshire,NH,1903,0,,48,1935,25,25
New Jersey,NJ,1903,17,,48,1936,35,35
New York,NY,1903,41,,0,1937,0,
Rhode Island,RI,1903,3,,0,1938,0,
Vermont,VT,1903,3,,0,1939,0,
Connecticut,CT,1904,0,,,1940,0,
Indiana,IN,1904,97,,,1941,,
Maine,ME,1904,3,,,1942,,
Massachusetts,MA,1904,9,,,1943,,
Michigan,MI,1904,27,,,1944,,
New Hampshire,NH,1904,2,,,1945,,
New Jersey,NJ,1904,24,,,1946,,
New York,NY,1904,13,,,1947,,
Rhode Island,RI,1904,0,,,1948,,
Vermont,VT,1904,0,,,1949,,
Connecticut,CT,1905,0,,,1950,,
Indiana,IN,1905,34,,,1951,,
Maine,ME,1905,0,,,1952,,
Massachusetts,MA,1905,2,,,1953,,
Michigan,MI,1905,74,,,1954,,
New Hampshire,NH,1905,0,,,,,
New Jersey,NJ,1905,1,,,,,
New York,NY,1905,10,,,,,
Rhode Island,RI,1905,0,,,,,
Vermont,VT,1905,0,,,,,
California,CA,1906,37,,,,,
Colorado,CO,1906,1,,,,,
Connecticut,CT,1906,0,,,,,
Indiana,IN,1906,6,,,,,
Maine,ME,1906,0,,,,,
Maryland,MD,1906,0,,,,,
Massachusetts,MA,1906,0,,,,,
Michigan,MI,1906,5,,,,,
New Hampshire,NH,1906,0,,,,,
New Jersey,NJ,1906,2,,,,,
New York,NY,1906,7,,,,,
Pennsylvania,PA,1906,8,,,,,
Rhode Island,RI,1906,0,,,,,
South Dakota,SD,1906,0,,,,,
Vermont,VT,1906,0,,,,,
California,CA,1907,6,,,,,
Colorado,CO,1907,4,,,,,
Connecticut,CT,1907,0,,,,,
Indiana,IN,1907,8,,,,,
Maine,ME,1907,0,,,,,
Maryland,MD,1907,0,,,,,
Massachusetts,MA,1907,6,,,,,
Michigan,MI,1907,8,,,,,
New Hampshire,NH,1907,0,,,,,
New Jersey,NJ,1907,0,,,,,
New York,NY,1907,10,,,,,
Pennsylvania,PA,1907,1,,,,,
Rhode Island,RI,1907,0,,,,,
South Dakota,SD,1907,4,,,,,
Vermont,VT,1907,0,,,,,
California,CA,1908,9,,,,,
Colorado,CO,1908,3,,,,,
Connecticut,CT,1908,0,,,,,
Indiana,IN,1908,9,,,,,
Maine,ME,1908,0,,,,,
Maryland,MD,1908,0,,,,,
Massachusetts,MA,1908,3,,,,,
Michigan,MI,1908,9,,,,,
New Hampshire,NH,1908,0,,,,,
New Jersey,NJ,1908,1,,,,,
New York,NY,1908,3,,,,,
Pennsylvania,PA,1908,0,,,,,
Rhode Island,RI,1908,0,,,,,
South Dakota,SD,1908,8,,,,,
Vermont,VT,1908,1,,,,,
Washington,WA,1908,3,,,,,
Wisconsin,WI,1908,9,,,,,
California,CA,1909,5,,,,,
Colorado,CO,1909,0,,,,,
Connecticut,CT,1909,0,,,,,
Indiana,IN,1909,4,,,,,
Maine,ME,1909,0,,,,,
Maryland,MD,1909,0,,,,,
Massachusetts,MA,1909,1,,,,,
Michigan,MI,1909,4,,,,,
New Hampshire,NH,1909,0,,,,,
New Jersey,NJ,1909,2,,,,,
New York,NY,1909,4,,,,,
Ohio,OH,1909,6,,,,,
Pennsylvania,PA,1909,0,,,,,
Rhode Island,RI,1909,0,,,,,
South Dakota,SD,1909,2,,,,,
Vermont,VT,1909,0,,,,,
Washington,WA,1909,9,,,,,
Wisconsin,WI,1909,16,,,,,
California,CA,1910,1,,,,,
Colorado,CO,1910,7,,,,,
Connecticut,CT,1910,0,,,,,
