year,n_articles,total_word_count,topic1_total,topic1_total_ratio,topic2_total,topic2_total_ratio,topic3_total,topic3_total_ratio,topic4_total,topic4_total_ratio,topic5_total,topic5_total_ratio,topic1_avg_prob,topic2_avg_prob,topic3_avg_prob,topic4_avg_prob,topic5_avg_prob,smallpox_kill_cooccurrences,smallpox_kill_cooccurrences_ratio,smallpox_plague_cooccurrences,smallpox_plague_cooccurrences_ratio,smallpox_sick_cooccurrences,smallpox_sick_cooccurrences_ratio,smallpox_grave_cooccurrences,smallpox_grave_cooccurrences_ratio,smallpox_outbreak_cooccurrences,smallpox_outbreak_cooccurrences_ratio,smallpox_perish_cooccurrences,smallpox_perish_cooccurrences_ratio,smallpox_mortality_cooccurrences,smallpox_mortality_cooccurrences_ratio,smallpox_burial_cooccurrences,smallpox_burial_cooccurrences_ratio,smallpox_epidemic_cooccurrences,smallpox_epidemic_cooccurrences_ratio,smallpox_fatality_cooccurrences,smallpox_fatality_cooccurrences_ratio,smallpox_infection_cooccurrences,smallpox_infection_cooccurrences_ratio,smallpox_contagion_cooccurrences,smallpox_contagion_cooccurrences_ratio,smallpox_casualty_cooccurrences,smallpox_casualty_cooccurrences_ratio,smallpox_death_cooccurrences,smallpox_death_cooccurrences_ratio,smallpox_disease_cooccurrences,smallpox_disease_cooccurrences_ratio,smallpox_endemic_cooccurrences,smallpox_endemic_cooccurrences_ratio,smallpox_suffering_cooccurrences,smallpox_suffering_cooccurrences_ratio,smallpox_victim_cooccurrences,smallpox_victim_cooccurrences_ratio,smallpox_afflicted_cooccurrences,smallpox_afflicted_cooccurrences_ratio,smallpox_succumb_cooccurrences,smallpox_succumb_cooccurrences_ratio,smallpox_case_cooccurrences,smallpox_case_cooccurrences_ratio,smallpox_died_cooccurrences,smallpox_died_cooccurrences_ratio,smallpox_pandemic_cooccurrences,smallpox_pandemic_cooccurrences_ratio,smallpox_obituary_cooccurrences,smallpox_obituary_cooccurrences_ratio,smallpox_deceased_cooccurrences,smallpox_deceased_cooccurrences_ratio,estimated_deaths
1900,111897,7486764,158,2.1103910848532155e-05,125,1.669613200042101e-05,39,5.209193184131355e-06,61,8.147712416205452e-06,130,1.736397728043785e-05,0.2216237589059672,0.16422064200455241,0.18508617016337167,0.21376359415591634,0.21530583459918898,2,2.6713811200673616e-07,5,6.678452800168404e-07,8,1.0685524480269447e-06,6,8.014143360202085e-07,11,1.469259616037049e-06,0,0.0,1,1.3356905600336808e-07,0,0.0,28,3.7399335680943063e-06,1,1.3356905600336808e-07,4,5.342762240134723e-07,5,6.678452800168404e-07,0,0.0,35,4.674916960117883e-06,102,1.3624043712343544e-05,0,0.0,24,3.205657344080834e-06,4,5.342762240134723e-07,6,8.014143360202085e-07,0,0.0,134,1.789825350445132e-05,20,2.6713811200673616e-06,0,0.0,1,1.3356905600336808e-07,3,4.0070716801010425e-07,232
1901,146864,10444290,248,2.3745031974408985e-05,148,1.4170422307308587e-05,35,3.351113383485139e-06,128,1.2255500373888508e-05,188,1.8000266174148746e-05,0.23288184343090956,0.16948380876041136,0.18841675846950187,0.20993008933286766,0.19928750001512072,2,1.9149219334200794e-07,5,4.787304833550198e-07,23,2.202160223433091e-06,2,1.9149219334200794e-07,4,3.829843866840159e-07,0,0.0,3,2.8723829001301187e-07,2,1.9149219334200794e-07,51,4.883050930221202e-06,2,1.9149219334200794e-07,4,3.829843866840159e-07,4,3.829843866840159e-07,0,0.0,42,4.021336060182166e-06,152,1.4553406693992603e-05,4,3.829843866840159e-07,24,2.297906320104095e-06,16,1.5319375467360635e-06,10,9.574609667100396e-07,2,1.9149219334200794e-07,192,1.838325056083276e-05,19,1.8191758367490754e-06,0,0.0,0,0.0,0,0.0,2905
1902,141793,9671308,303,3.132978496807257e-05,142,1.4682605496588465e-05,55,5.686924664171589e-06,157,1.6233584950453444e-05,213,2.20239082448827e-05,0.23370046238513667,0.1670049322846218,0.18554448338916316,0.21705429790662573,0.19669582396251412,0,0.0,4,4.13594521030661e-07,20,2.067972605153305e-06,0,0.0,6,6.203917815459915e-07,0,0.0,1,1.0339863025766524e-07,1,1.0339863025766524e-07,42,4.3427424708219405e-06,0,0.0,4,4.13594521030661e-07,4,4.13594521030661e-07,0,0.0,36,3.722350689275949e-06,129,1.3338423303238817e-05,0,0.0,31,3.205357537987623e-06,13,1.3441821933496483e-06,14,1.4475808236073134e-06,0,0.0,213,2.20239082448827e-05,23,2.378168495926301e-06,0,0.0,0,0.0,0,0.0,5327
1903,131968,8751858,101,1.1540406619942874e-05,51,5.827334035812738e-06,31,3.542105002160684e-06,61,6.969948552638765e-06,110,1.2568759685086297e-05,0.2372438462266221,0.16495898685177343,0.190810783627627,0.2191601856313025,0.18782619793085784,2,2.2852290336520543e-07,8,9.140916134608217e-07,11,1.2568759685086298e-06,0,0.0,3,3.4278435504780815e-07,0,0.0,3,3.4278435504780815e-07,0,0.0,15,1.7139217752390407e-06,0,0.0,0,0.0,8,9.140916134608217e-07,0,0.0,23,2.628013388699862e-06,80,9.140916134608217e-06,0,0.0,13,1.4853988718738352e-06,5,5.713072584130136e-07,2,2.2852290336520543e-07,0,0.0,93,1.0626315006482051e-05,13,1.4853988718738352e-06,0,0.0,0,0.0,0,0.0,1255
1904,134086,8598118,51,5.931530597742436e-06,31,3.6054401672552063e-06,14,1.6282633013410609e-06,31,3.6054401672552063e-06,58,6.745662248412967e-06,0.23500119849291415,0.16415757135776443,0.1974908960484214,0.21159987066884678,0.19175046364383513,4,4.65218086097446e-07,2,2.32609043048723e-07,5,5.815226076218074e-07,1,1.163045215243615e-07,0,0.0,0,0.0,0,0.0,1,1.163045215243615e-07,12,1.3956542582923379e-06,1,1.163045215243615e-07,1,1.163045215243615e-07,1,1.163045215243615e-07,0,0.0,9,1.0467406937192534e-06,39,4.535876339450098e-06,0,0.0,4,4.65218086097446e-07,3,3.4891356457308447e-07,2,2.32609043048723e-07,0,0.0,51,5.931530597742436e-06,14,1.6282633013410609e-06,0,0.0,0,0.0,0,0.0,695
1905,163513,10912517,45,4.123704916106889e-06,54,4.9484458993282664e-06,37,3.3906018199101087e-06,18,1.6494819664427556e-06,71,6.506289978746425e-06,0.21690924957658309,0.19486348691868285,0.1979560616620431,0.2032502620220956,0.18702093966955669,1,9.163788702459754e-08,9,8.247409832213778e-07,4,3.6655154809839014e-07,1,9.163788702459754e-08,0,0.0,0,0.0,2,1.8327577404919507e-07,1,9.163788702459754e-08,7,6.414652091721828e-07,1,9.163788702459754e-08,1,9.163788702459754e-08,0,0.0,0,0.0,14,1.2829304183443655e-06,52,4.765170125279072e-06,3,2.749136610737926e-07,8,7.331030961967803e-07,4,3.6655154809839014e-07,2,1.8327577404919507e-07,0,0.0,56,5.131721673377462e-06,6,5.498273221475852e-07,0,0.0,0,0.0,0,0.0,481
1906,168364,11451620,45,3.929575029559137e-06,61,5.326757262291274e-06,43,3.7549272504676196e-06,12,1.0478866745491032e-06,57,4.97746170410824e-06,0.2174743678042587,0.20257682385837486,0.1889773341595676,0.19181880762352055,0.19915266653440758,0,0.0,5,4.36619447728793e-07,3,2.619716686372758e-07,0,0.0,9,7.859150059118273e-07,0,0.0,2,1.7464777909151718e-07,0,0.0,12,1.0478866745491032e-06,0,0.0,2,1.7464777909151718e-07,3,2.619716686372758e-07,0,0.0,20,1.746477790915172e-06,47,4.104222808650654e-06,0,0.0,9,7.859150059118273e-07,9,7.859150059118273e-07,1,8.732388954575859e-08,0,0.0,63,5.5014050413827915e-06,11,9.605627850033445e-07,1,8.732388954575859e-08,0,0.0,0,0.0,173
1907,171461,11553956,22,1.9041097265733052e-06,43,3.721669011029642e-06,23,1.9906601686902736e-06,12,1.0386053054036211e-06,46,3.981320337380547e-06,0.2101271768454697,0.2031908039272818,0.19737943646255834,0.19048607040478102,0.19881651239963213,1,8.655044211696843e-08,6,5.193026527018106e-07,1,8.655044211696843e-08,0,0.0,1,8.655044211696843e-08,1,8.655044211696843e-08,1,8.655044211696843e-08,0,0.0,13,1.1251557475205895e-06,0,0.0,1,8.655044211696843e-08,3,2.596513263509053e-07,0,0.0,9,7.789539790527158e-07,29,2.509962821392084e-06,0,0.0,3,2.596513263509053e-07,7,6.05853094818779e-07,7,6.05853094818779e-07,0,0.0,30,2.596513263509053e-06,3,2.596513263509053e-07,0,0.0,0,0.0,0,0.0,112
1908,184287,12373174,44,3.556080274956127e-06,43,3.475260268707124e-06,27,2.182140168723078e-06,15,1.2123000937350432e-06,40,3.2328002499601154e-06,0.2038687941388736,0.20976061773667512,0.19505025524739136,0.19374107845418567,0.19757925450467748,3,2.4246001874700865e-07,5,4.041000312450144e-07,6,4.849200374940173e-07,2,1.6164001249800577e-07,1,8.082000624900288e-08,0,0.0,1,8.082000624900288e-08,0,0.0,7,5.657400437430202e-07,2,1.6164001249800577e-07,1,8.082000624900288e-08,0,0.0,0,0.0,9,7.27380056241026e-07,41,3.313620256209118e-06,0,0.0,4,3.2328002499601154e-07,5,4.041000312450144e-07,4,3.2328002499601154e-07,0,0.0,43,3.475260268707124e-06,3,2.4246001874700865e-07,0,0.0,0,0.0,0,0.0,116
1909,192622,12926125,34,2.630331982709435e-06,34,2.630331982709435e-06,41,3.171870920326084e-06,20,1.5472541074761385e-06,65,5.0285758492974496e-06,0.20729344407101938,0.2087137280618868,0.2043527681617941,0.19749495898742905,0.18214510079181692,0,0.0,2,1.5472541074761384e-07,2,1.5472541074761384e-07,1,7.736270537380692e-08,3,2.3208811612142077e-07,0,0.0,2,1.5472541074761384e-07,0,0.0,11,8.509897591118761e-07,0,0.0,0,0.0,1,7.736270537380692e-08,0,0.0,3,2.3208811612142077e-07,34,2.630331982709435e-06,0,0.0,6,4.6417623224284155e-07,3,2.3208811612142077e-07,2,1.5472541074761384e-07,0,0.0,46,3.5586844471951186e-06,7,5.415389376166485e-07,0,0.0,0,0.0,0,0.0,107
