id,word_count,smallpox_death_cooccurrences,cooccur_topic1_power,cooccur_topic1_time,cooccur_topic1_state,cooccur_topic1_public,cooccur_topic1_government,cooccur_topic2_black,cooccur_topic2_portland,cooccur_topic2_white,cooccur_topic2_good,cooccur_topic2_john,cooccur_topic3_bill,cooccur_topic3_bank,cooccur_topic3_dollar,cooccur_topic3_name,cooccur_topic3_read,cooccur_topic4_aged,cooccur_topic4_land,cooccur_topic4_town,cooccur_topic4_acre,cooccur_topic4_half,cooccur_topic5_county,cooccur_topic5_town,cooccur_topic5_name,cooccur_topic5_incorporate,cooccur_topic5_portland,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
35_1802-03-08_p3_sn83016063_00332895059_1802030801_0768,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47558578848838806,0.0,0.0,0.0,0.5174373388290405
44_1802-08-09_p3_sn83016063_00332895060_1802080901_0045,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5672120451927185,0.3889409303665161,0.01763448491692543,0.014253728091716766,0.011958790011703968
48_1802-12-20_p3_sn83016072_00332895060_1802122001_0120,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9163119196891785,0.028825975954532623,0.02213178388774395,0.01780003495514393,0.01493025291711092
8_1802-07-26_p1_sn83016063_00332895060_1802072601_0035,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875388741493225,0.4759001135826111,0.014731843024492264,0.011877549812197685,0.0
9_1802-02-15_p2_sn83016063_00332895059_1802021501_0755,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9637423753738403,0.013212895020842552,0.0,0.0,0.0
3_1802-02-22_p2_sn83016063_00332895059_1802022201_0759,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060978714376688004,0.0,0.3193434476852417,0.0,0.6153409481048584
41_1802-06-07_p4_sn83016063_00332895060_1802060701_0010,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9311932325363159,0.024899765849113464,0.017712751403450966,0.014234397560358047,0.01195988804101944
6_1802-03-22_p4_sn83016063_00332895059_1802032201_0777,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9950395822525024
1_1802-06-07_p2_sn83016063_00332895060_1802060701_0008,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7436766028404236,0.011569691821932793,0.0,0.0,0.229535311460495
19_1802-03-15_p1_sn83016063_00332895059_1802031501_0770,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19523170590400696,0.5854532718658447,0.08841466903686523,0.07113193720579147,0.059768401086330414
2_1802-12-13_p1_sn83016072_00332895060_1802121301_0114,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41047194600105286,0.29225653409957886,0.0,0.2873794734477997,0.0
5_1802-03-08_p1_sn83016063_00332895059_1802030801_0766,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993722677230835,0.0,0.0,0.0,0.0
1_1802-07-12_p4_sn83016063_00332895060_1802071201_0030,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49230897426605225,0.0,0.17040961980819702,0.0,0.3258114457130432
10_1802-08-23_p1_sn83016063_00332895060_1802082301_0051,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17261293530464172,0.608655571937561,0.08784756064414978,0.07112900167703629,0.05975494533777237
4_1802-07-19_pNone_sn83016063_00332895060_1802071901_0032,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2836202085018158,0.6826763153076172,0.013564998283982277,0.010957101359963417,0.0
9_1802-12-27_p2_sn83016072_00332895060_1802122701_0123,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9938486218452454,0.0,0.0,0.0,0.0
24_1802-02-15_p2_sn83016063_00332895059_1802021501_0755,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07193133980035782,0.047314152121543884,0.8284405469894409,0.02842867746949196,0.023885322734713554
1_1802-06-14_p3_sn83016063_00332895060_1802061401_0013,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34139060974121094,0.6512995958328247,0.0,0.0,0.0
13_1802-06-14_p3_sn83016063_00332895060_1802061401_0013,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9765473008155823
6_1802-06-14_p3_sn83016063_00332895060_1802061401_0013,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02185729332268238,0.43109485507011414,0.010518294759094715,0.0,0.5281533002853394
6_1802-03-22_p2_sn83016063_00332895059_1802032201_0775,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01749497652053833,0.010004471987485886,0.9615843892097473,0.0,0.0
3_1802-06-07_p2_sn83016063_00332895060_1802060701_0008,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5293604731559753,0.3275110125541687,0.1277349889278412,0.0,0.0
31_1802-06-21_p3_sn83016063_00332895060_1802062101_0017,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25790098309516907,0.0,0.0,0.7379503846168518
5_1802-03-22_p4_sn83016063_00332895059_1802032201_0777,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9837706685066223,0.0,0.0
11_1802-02-15_p2_sn83016063_00332895059_1802021501_0755,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03920326009392738,0.4711771309375763,0.4634290635585785,0.014247034676373005,0.011943476274609566
23_1802-03-22_p3_sn83016063_00332895059_1802032201_0776,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4632781744003296,0.5122879147529602,0.0,0.0,0.0
26_1802-02-22_p4_sn83016063_00332895059_1802022201_0761,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6660484075546265,0.11499542742967606,0.08784868568181992,0.0714331716299057,0.059674300253391266
2_1802-03-01_p1_sn83016063_00332895059_1802030101_0762,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9879191517829895,0.0,0.0,0.0,0.0
15_1802-07-26_p1_sn83016063_00332895060_1802072601_0035,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9479716420173645,0.01833735965192318,0.013543481007218361,0.010950377210974693,0.0
36_1802-08-16_p3_sn83016063_00332895060_1802081601_0049,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3602089583873749,0.34642481803894043,0.286639928817749,0.0,0.0
8_1802-02-15_p1_sn83016063_00332895059_1802021501_0754,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9763018488883972,0.0,0.0,0.0,0.0
9_1802-03-01_p1_sn83016063_00332895059_1802030101_0762,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6061736941337585,0.3850487768650055,0.0,0.0,0.0
58_1802-12-20_p4_sn83016072_00332895060_1802122001_0121,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33283761143684387,0.22998513281345367,0.17569300532341003,0.14213863015174866,0.11934563517570496
10_1802-03-01_p2_sn83016063_00332895059_1802030101_0763,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801259458065033,0.015988945960998535,0.08866982907056808,0.08611838519573212,0.0
31_1802-08-16_p2_sn83016063_00332895060_1802081601_0048,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05422132834792137,0.03543638437986374,0.025209791958332062,0.020481372252106667,0.864651083946228
1_1802-12-13_p2_sn83016072_00332895060_1802121301_0115,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022879453375935555,0.01095501333475113,0.9542728662490845,0.0,0.0
4_1802-12-27_p2_sn83016072_00332895060_1802122701_0123,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16379037499427795,0.5539361238479614,0.011086199432611465,0.0,0.2622942626476288
11_1802-06-21_p4_sn83016063_00332895060_1802062101_0018,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01559277530759573,0.6203548312187195,0.3526627719402313,0.0,0.0
7_1802-02-22_p1_sn83016063_00332895059_1802022201_0758,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8104220032691956,0.0,0.18168215453624725,0.0,0.0
9_1802-12-13_p3_sn83016072_00332895060_1802121301_0116,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017378536984324455,0.9607370495796204,0.0,0.0,0.0
39_1802-03-08_p3_sn83016063_00332895059_1802030801_0768,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8823422193527222,0.0,0.10490579903125763,0.0,0.0
4_1802-03-15_p2_sn83016063_00332895059_1802031501_0771,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42187607288360596,0.41631945967674255,0.15853166580200195,0.0,0.0
11_1802-03-15_p4_sn83016063_00332895059_1802031501_0773,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7485971450805664,0.2302282303571701,0.0,0.0,0.0
