id,word_count,smallpox_death_cooccurrences,cooccur_topic1_county,cooccur_topic1_late,cooccur_topic1_year,cooccur_topic1_notice,cooccur_topic1_taken,cooccur_topic2_black,cooccur_topic2_good,cooccur_topic2_cotton,cooccur_topic2_white,cooccur_topic2_plain,cooccur_topic3_day,cooccur_topic3_brig,cooccur_topic3_court,cooccur_topic3_whole,cooccur_topic3_state,cooccur_topic4_john,cooccur_topic4_bill,cooccur_topic4_public,cooccur_topic4_vote,cooccur_topic4_committee,cooccur_topic5_debt,cooccur_topic5_french,cooccur_topic5_army,cooccur_topic5_france,cooccur_topic5_petition,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
10_1806-05-19_p2_sn83016082_00332895060_1806051901_0831,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.21567846834659576,0.7669710516929626
17_1806-06-09_p4_sn83016082_00332895060_1806060901_0845,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31322363018989563,0.028870567679405212,0.02219979465007782,0.017806164920330048,0.6178998351097107
2_1806-04-28_p1_sn83016082_00332895060_1806042801_0818,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9811716675758362
51_1806-03-03_p4_sn83016082_00332895060_1806030301_0790,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08507680147886276,0.8054883480072021,0.043969959020614624,0.03562382981181145,0.029841065406799316
10_1806-06-16_p1_sn83016082_00332895060_1806061601_0846,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053410161286592484,0.033111050724983215,0.02513522282242775,0.8712905049324036,0.017053037881851196
6_1806-01-13_p2_sn83016082_00332895060_1806011301_0764,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9913971424102783,0.0,0.0
1_1806-04-14_p2_sn83016082_00332895060_1806041401_0812,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014095419086515903,0.0,0.6364739537239075,0.3353241980075836,0.0
36_1806-03-17_p3_sn83016082_00332895060_1806031701_0797,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06803467124700546,0.0255964957177639,0.019557710736989975,0.8735311031341553,0.013280035927891731
7_1806-01-27_p1_sn83016082_00332895060_1806012701_0767,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3944821059703827,0.0,0.0,0.1759624481201172,0.42468637228012085
6_1806-01-27_p1_sn83016082_00332895060_1806012701_0767,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9066286087036133,0.0,0.08849252015352249,0.0,0.0
11_1806-04-07_p1_sn83016082_00332895060_1806040701_0807,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9836366772651672
30_1806-04-14_p2_sn83016082_00332895060_1806041401_0812,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7249143719673157,0.014738716185092926,0.011107392609119415,0.24177105724811554,0.0
20_1806-01-27_p4_sn83016082_00332895060_1806012701_0770,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8176641464233398,0.1770387887954712,0.0,0.0,0.0
12_1806-05-12_p4_sn83016082_00332895060_1806051201_0829,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06928069144487381,0.9098957777023315,0.0,0.0,0.0
10_1806-03-24_p2_sn83016082_00332895060_1806032401_0800,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06810224801301956,0.012002872303128242,0.0,0.2337440401315689,0.6772580146789551
47_1806-05-12_p2_sn83016082_00332895060_1806051201_0827,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8317358493804932,0.05794602259993553,0.04473022371530533,0.0357135571539402,0.02987438440322876
4_1806-02-10_p4_sn83016082_00332895060_1806021001_0778,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9921753406524658,0.0,0.0,0.0
1_1806-06-02_p4_sn83016082_00332895060_1806060201_0841,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6500259041786194,0.3458661735057831,0.0,0.0,0.0
22_1806-04-07_p2_sn83016082_00332895060_1806040701_0808,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933641567826271,0.05784354358911514,0.7833324074745178,0.03559810668230057,0.02986178547143936
9_1806-04-28_p3_sn83016082_00332895060_1806042801_0820,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9709581136703491,0.010012676939368248,0.0,0.0,0.0
8_1806-03-31_p2_sn83016082_00332895060_1806033101_0804,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34331372380256653,0.0,0.6531817317008972,0.0,0.0
4_1806-04-21_p1_sn83016082_00332895060_1806042101_0814,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2538607120513916,0.03623145818710327,0.4099441170692444,0.0,0.29884034395217896
26_1806-02-10_p1_sn83016082_00332895060_1806021001_0775,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7769654989242554,0.07667295634746552,0.059004686772823334,0.04756205156445503,0.039794858545064926
5_1806-05-05_p1_sn83016082_00332895060_1806050501_0822,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2634400427341461,0.0,0.46749347448349,0.0,0.2641855478286743
4_1806-05-19_p1_sn83016082_00332895060_1806051901_0830,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47730687260627747,0.0,0.0,0.11653024703264236,0.40149277448654175
9_1806-04-28_p1_sn83016082_00332895060_1806042801_0818,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9823125600814819
15_1806-06-09_p2_sn83016082_00332895060_1806060901_0843,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9842877984046936,0.0
16_1806-03-10_p4_sn83016082_00332895060_1806031001_0794,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018223633989691734,0.843000054359436,0.0,0.12641912698745728,0.0
12_1806-02-03_p3_sn83016082_00332895060_1806020301_0773,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6653258800506592,0.01016161497682333,0.3130991458892822,0.0,0.0
16_1806-06-02_p3_sn83016082_00332895060_1806060201_0840,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01031761709600687,0.9764024019241333,0.0,0.0,0.0
20_1806-06-02_p3_sn83016082_00332895060_1806060201_0840,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9709192514419556,0.010021555237472057,0.0,0.0,0.0
20_1806-03-24_p3_sn83016082_00332895060_1806032401_0801,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9329019784927368,0.023074783384799957,0.01775038242340088,0.01433295663446188,0.011939863674342632
8_1806-03-10_p1_sn83016082_00332895060_1806031001_0791,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4601972699165344,0.0,0.40311765670776367,0.132947638630867,0.0
30_1806-03-10_p3_sn83016082_00332895060_1806031001_0793,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014183896593749523,0.0,0.0,0.9685770869255066,0.0
2_1806-02-24_p4_sn83016082_00332895060_1806022401_0786,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23422713577747345,0.0,0.0,0.15545393526554108,0.596723198890686
9_1806-03-24_p2_sn83016082_00332895060_1806032401_0800,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9916900992393494
5_1806-04-21_p4_sn83016082_00332895060_1806042101_0817,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4264715015888214,0.549058735370636,0.0,0.0,0.0
17_1806-04-07_p1_sn83016082_00332895060_1806040701_0807,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02774169109761715,0.015022430568933487,0.011041405610740185,0.9387308359146118,0.0
21_1806-03-10_p3_sn83016082_00332895060_1806031001_0793,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060614064335823,0.8761952519416809,0.025803040713071823,0.020341848954558372,0.017053699120879173
23_1806-03-31_p4_sn83016082_00332895060_1806033101_0806,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.983217179775238
2_1806-06-09_p3_sn83016082_00332895060_1806060901_0844,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8935825824737549,0.010411122813820839,0.08460059762001038,0.0,0.0
51_1806-01-06_p4_sn83016082_00332895060_1806010601_0762,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18824543058872223,0.11500748991966248,0.08785790205001831,0.07107853144407272,0.5378106236457825
14_1806-04-14_p4_sn83016082_00332895060_1806041401_0813,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9606305956840515,0.013594713062047958,0.01038078311830759,0.0,0.0
2_1806-06-30_p3_sn83016082_00332895072_1806063001_0005,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1977389007806778,0.7917765378952026,0.0,0.0,0.0
4_1806-01-13_p2_sn83016082_00332895060_1806011301_0764,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.30737215280532837,0.6836039423942566,0.0
9_1806-03-31_p3_sn83016082_00332895060_1806033101_0805,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3447181284427643,0.15968790650367737,0.48976752161979675,0.0,0.0
16_1806-04-21_p4_sn83016082_00332895060_1806042101_0817,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9732624888420105,0.0,0.0,0.0,0.0
2_1806-02-10_p2_sn83016082_00332895060_1806021001_0776,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48284947872161865,0.03256072849035263,0.26592758297920227,0.21453922986984253,0.0
10_1806-06-02_p1_sn83016082_00332895060_1806060201_0838,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3701234459877014,0.0,0.6247590780258179,0.0,0.0
16_1806-06-02_p2_sn83016082_00332895060_1806060201_0839,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305184930562973,0.011052841320633888,0.0,0.5006498098373413,0.1746545284986496
9_1806-06-16_p2_sn83016082_00332895060_1806061601_0847,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014864240773022175,0.0,0.0,0.6657812595367432,0.3024000823497772
8_1806-04-28_p2_sn83016082_00332895060_1806042801_0819,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26852884888648987,0.010010024532675743,0.0,0.4879291355609894,0.22613701224327087
3_1806-01-27_p4_sn83016082_00332895060_1806012701_0770,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.988132119178772
13_1806-05-05_p4_sn83016082_00332895060_1806050501_0825,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9953303933143616,0.0,0.0,0.0
1_1806-02-17_p3_sn83016082_00332895060_1806021701_0781,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015082808211445808,0.13618147373199463,0.8373541235923767,0.0,0.0
20_1806-05-12_p2_sn83016082_00332895060_1806051201_0827,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23960480093955994,0.0,0.6275796890258789,0.0,0.12315276265144348
10_1806-01-06_p2_sn83016082_00332895060_1806010601_0760,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1740465760231018,0.1150439903140068,0.08884065598249435,0.07107360661029816,0.5509951710700989
13_1806-01-13_p3_sn83016082_00332895060_1806011301_0765,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9905791878700256
6_1806-04-21_p3_sn83016082_00332895060_1806042101_0816,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09289617836475372,0.8938175439834595,0.0,0.0,0.0
12_1806-02-17_p2_sn83016082_00332895060_1806021701_0780,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.10499122738838196,0.0,0.8851774334907532
18_1806-06-02_p3_sn83016082_00332895060_1806060201_0840,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6633798480033875,0.2966959774494171,0.016080545261502266,0.012986063957214355,0.010857523418962955
26_1806-03-31_p4_sn83016082_00332895060_1806033101_0806,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9739518761634827,0.0,0.0,0.0,0.0
2_1806-06-16_p3_sn83016082_00332895060_1806061601_0848,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01516522467136383,0.4081343114376068,0.17432984709739685,0.0,0.3974486291408539
