id,word_count,smallpox_death_cooccurrences,cooccur_topic1_black,cooccur_topic1_cotton,cooccur_topic1_white,cooccur_topic1_received,cooccur_topic1_good,cooccur_topic2_state,cooccur_topic2_house,cooccur_topic2_bill,cooccur_topic2_shall,cooccur_topic2_time,cooccur_topic3_bank,cooccur_topic3_capt,cooccur_topic3_american,cooccur_topic3_wilmington,cooccur_topic3_british,cooccur_topic4_shall,cooccur_topic4_company,cooccur_topic4_article,cooccur_topic4_person,cooccur_topic4_medicine,cooccur_topic5_state,cooccur_topic5_dollar,cooccur_topic5_shall,cooccur_topic5_share,cooccur_topic5_town,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
21_1811-07-15_pNone_sn83016082_00332895084_1811071501_0321,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9155656,0.02935856580734253,0.022317755967378616,0.017820512875914574,0.014937549829483032
11_1811-07-01_pNone_sn83016082_00332895084_1811070101_0310,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95168626,0.01671481505036354,0.012846934609115124,0.010220791213214397,0.0
5_1811-07-01_pNone_sn83016082_00332895084_1811070101_0310,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5100339,0.48251035809516907,0.0,0.0,0.0
31_1811-07-15_pNone_sn83016082_00332895084_1811071501_0321,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77605176,0.07816050201654434,0.058593813329935074,0.04740589112043381,0.039788030087947845
3_1811-07-15_pNone_sn83016082_00332895084_1811071501_0321,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9732175,0.0,0.0,0.0,0.0
7_1811-07-15_pNone_sn83016082_00332895084_1811071501_0321,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95498455,0.01569974049925804,0.011847739107906818,0.0,0.0
7_1811-12-02_pNone_sn83016082_00332895084_1811120201_0401,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019511428,0.958385705947876,0.0,0.0,0.0
31_1811-12-02_pNone_sn83016082_00332895084_1811120201_0401,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018008105,0.9599854350090027,0.0,0.0,0.0
3_1811-07-01_p2_sn83016082_00332895084_1811070101_0311,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42797855,0.5577819347381592,0.0,0.0,0.0
12_1811-07-01_pNone_sn83016082_00332895084_1811070101_0310,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9430802,0.020023750141263008,0.015024123713374138,0.011914112605154514,0.0
24_1811-07-15_pNone_sn83016082_00332895084_1811071501_0321,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93178517,0.023713793605566025,0.018300192430615425,0.014258512295782566,0.01194231491535902
