id,word_count,smallpox_death_cooccurrences,cooccur_topic1_land,cooccur_topic1_black,cooccur_topic1_silk,cooccur_topic1_cotton,cooccur_topic1_good,cooccur_topic2_good,cooccur_topic2_work,cooccur_topic2_public,cooccur_topic2_john,cooccur_topic2_part,cooccur_topic3_state,cooccur_topic3_committee,cooccur_topic3_house,cooccur_topic3_time,cooccur_topic3_many,cooccur_topic4_county,cooccur_topic4_bank,cooccur_topic4_court,cooccur_topic4_portland,cooccur_topic4_notice,cooccur_topic5_state,cooccur_topic5_last,cooccur_topic5_time,cooccur_topic5_year,cooccur_topic5_house,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
31_1817-10-07_pNone_sn83016082_00332895096_1817100701_0545,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485304594039917,0.2660770118236542,0.4682997465133667,0.20713338255882263,0.0
38_1817-07-15_p2_sn83016082_00332895096_1817071501_0495,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5117216110229492,0.015617436729371548,0.011889227665960789,0.4528043866157532,0.0
29_1817-06-10_p1_sn83016082_00332895096_1817061001_0474,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9852002859115601,0.0,0.0
21_1817-07-22_p2_sn83016082_00332895096_1817072201_0499,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9769138693809509,0.0,0.0
45_1817-07-15_p4_sn83016082_00332895096_1817071501_0497,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33283761143684387,0.22998513281345367,0.17569300532341003,0.14213863015174866,0.11934563517570496
12_1817-01-11_p1_sn83016082_00332895096_1817011101_0398,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026175644248723984,0.9480462670326233,0.010376591235399246,0.0,0.0
45_1817-01-11_p2_sn83016082_00332895096_1817011101_0399,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697041004896164,0.41991496086120605,0.0352078415453434,0.45128360390663147,0.023889509961009026
3_1817-06-10_p1_sn83016082_00332895096_1817061001_0474,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23761962354183197,0.010181819088757038,0.3735651969909668,0.3734404146671295,0.0
4_1817-07-22_p3_sn83016082_00332895096_1817072201_0500,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012521025724709034,0.973328709602356,0.0,0.0,0.0
31_1817-09-30_p4_sn83016082_00332895096_1817093001_0541,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7147877216339111,0.015891898423433304,0.2518678903579712,0.0,0.0
10_1817-07-22_p4_sn83016082_00332895096_1817072201_0501,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23205380141735077,0.6401737332344055,0.1219383105635643,0.0,0.0
