year,id,word_count,cooccur_topic4_would,cooccur_topic5_senate,cooccur_topic5_time,cooccur_topic3_town,cooccur_topic4_power,cooccur_topic5_maine,smallpox_death_cooccurrences,cooccur_topic1_portland,cooccur_topic3_name,cooccur_topic5_state,cooccur_topic4_dollar,cooccur_topic1_faid,cooccur_topic2_upon,cooccur_topic2_public,cooccur_topic3_county,cooccur_topic1_white,cooccur_topic2_country,cooccur_topic2_part,cooccur_topic1_john,cooccur_topic4_contribution,cooccur_topic4_bank,cooccur_topic1_hereby,cooccur_topic3_arrived,cooccur_topic3_land,cooccur_topic5_united,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1802,35_1802-03-08_p3_sn83016063_00332895059_1802030801_0768,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3152818,0.111128494,0.57060724,0.0016241135,0.0013583351
1802,44_1802-08-09_p3_sn83016063_00332895060_1802080901_0045,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94192594,0.021477906,0.014784406,0.01185197,0.009959867
1802,48_1802-12-20_p3_sn83016072_00332895060_1802122001_0120,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9252833,0.0258529,0.019783119,0.015809005,0.013271673
1802,8_1802-07-26_p1_sn83016063_00332895060_1802072601_0035,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032276887,0.019129941,0.49500552,0.1102679,0.34331968
1802,9_1802-02-15_p2_sn83016063_00332895059_1802021501_0755,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5052416,0.012675963,0.009388801,0.46639857,0.0062950645
1802,3_1802-02-22_p2_sn83016063_00332895059_1802022201_0759,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042141653,0.0026175526,0.829222,0.0015715745,0.16237468
1802,41_1802-06-07_p4_sn83016063_00332895060_1802060701_0010,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94396704,0.019537747,0.014694444,0.011851973,0.009948789
1802,6_1802-03-22_p4_sn83016063_00332895059_1802032201_0777,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018840511,0.0012500365,0.995459,0.0007648936,0.00064199074
1802,1_1802-06-07_p2_sn83016063_00332895060_1802060701_0008,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53923434,0.1513814,0.22290221,0.0064979447,0.07998423
1802,19_1802-03-15_p1_sn83016063_00332895059_1802031501_0770,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1664202,0.116881475,0.5856847,0.071268715,0.05974493
1802,2_1802-12-13_p1_sn83016072_00332895060_1802121301_0114,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011507497,0.8555746,0.0051537845,0.12434906,0.0034150113
1802,5_1802-03-08_p1_sn83016063_00332895059_1802030801_0766,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032890365,0.9697786,0.0015296397,0.0012290351,0.024173658
1802,1_1802-07-12_p4_sn83016063_00332895060_1802071201_0030,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3931498,0.0064764526,0.2138201,0.3833218,0.0032318155
1802,10_1802-08-23_p1_sn83016063_00332895060_1802082301_0051,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16952364,0.119667314,0.088295735,0.07107009,0.5514432
1802,4_1802-07-19_pNone_sn83016063_00332895060_1802071901_0032,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02440382,0.017373255,0.01261361,0.010163356,0.93544596
1802,9_1802-12-27_p2_sn83016072_00332895060_1802122701_0123,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003270411,0.99303603,0.001491403,0.0011980839,0.0010040915
1802,24_1802-02-15_p2_sn83016063_00332895059_1802021501_0755,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8620637,0.05024491,0.035350796,0.0284359,0.02390481
1802,1_1802-06-14_p3_sn83016063_00332895060_1802061401_0013,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14701346,0.8464337,0.0026432546,0.002126317,0.0017833469
1802,13_1802-06-14_p3_sn83016063_00332895060_1802061401_0013,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984203,0.0055375462,0.0041641383,0.0033172076,0.002778109
1802,6_1802-06-14_p3_sn83016063_00332895060_1802061401_0013,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15852186,0.81537086,0.010695367,0.008379386,0.007032548
1802,6_1802-03-22_p2_sn83016063_00332895059_1802032201_0775,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27055198,0.009237948,0.71012115,0.0054921606,0.004596725
1802,3_1802-06-07_p2_sn83016063_00332895060_1802060701_0008,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13530362,0.66147894,0.18779105,0.00839552,0.0070308307
