year,id,word_count,cooccur_topic3_house,cooccur_topic5_white,cooccur_topic2_bank,cooccur_topic3_public,cooccur_topic1_work,smallpox_burial_cooccurrences,cooccur_topic4_would,cooccur_topic4_good,cooccur_topic4_france,cooccur_topic1_received,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_black,cooccur_topic2_town,cooccur_topic5_company,smallpox_epidemic_cooccurrences,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic4_state,cooccur_topic1_read,cooccur_topic4_great,cooccur_topic1_american,smallpox_died_cooccurrences,cooccur_topic5_cotton,smallpox_plague_cooccurrences,cooccur_topic2_time,cooccur_topic1_vessel,cooccur_topic5_shall,cooccur_topic3_bill,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1814,23_1814-12-26_pNone_sn83016082_00332895084_1814122601_0165,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9155494,0.029506188,0.022179158,0.017840711,0.01492453
1814,15_1814-12-26_pNone_sn83016082_00332895084_1814122601_0165,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40856826,0.026818719,0.5355211,0.015825242,0.01326677
1814,67_1814-08-22_p4_sn83016082_00332895084_1814082201_0098,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11889859,0.079611056,0.058566414,0.7031382,0.03978574
1814,3_1814-01-24_p4_sn83016082_00332895084_1814012401_0822,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010825497,0.0072571416,0.005495524,0.0044496153,0.9719722
1814,41_1814-08-22_p3_sn83016082_00332895084_1814082201_0097,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3574335,0.48583782,0.0012216667,0.15468892,0.0008180315
1814,24_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074288614,0.033542097,0.025358273,0.849758,0.017052928
1814,16_1814-03-14_pNone_sn83016082_00332895084_1814031401_0006,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22748414,0.62557405,0.005551538,0.0044544707,0.13693585
1814,8_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04331917,0.9016631,0.022289975,0.017805198,0.014922576
1814,10_1814-10-17_p2_sn83016082_00332895084_1814101701_0126,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12353124,0.019624,0.83502954,0.011867173,0.0099481335
1814,6_1814-01-24_p4_sn83016082_00332895084_1814012401_0822,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86625564,0.04623857,0.03513956,0.028442184,0.023924012
