year,id,word_count,cooccur_topic2_little,cooccur_topic1_house,cooccur_topic4_range,cooccur_topic4_land,cooccur_topic3_public,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic1_good,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic3_dollar,cooccur_topic4_black,cooccur_topic2_court,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,cooccur_topic4_township,smallpox_plague_cooccurrences,cooccur_topic4_said,cooccur_topic5_people,cooccur_topic1_time,cooccur_topic3_shall,cooccur_topic3_hundred,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1831,24_1831-06-25_p3_sn84021903_00414187432_1831062501_0098,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6592242,0.30928376,0.012776019,0.010174245,0.008541728
1831,14_1831-05-18_p3_sn84021903_00414187432_1831051801_0074,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020869413,0.010811269,0.03358047,0.0062172026,0.9285217
1831,1_1831-07-06_p3_sn87062070_0039334295A_1831070601_0272,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6702432,0.0017867787,0.065964624,0.0010636768,0.2609417
1831,9_1831-05-18_p1_sn84021903_00414187432_1831051801_0072,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011313076,0.00073705433,0.99734175,0.00043003962,0.0003598382
1831,7_1831-05-05_p1_sn84020071_00414182938_1831050501_0473,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013942738,0.008396507,0.96830267,0.0050898744,0.004268251
1831,16_1831-08-27_p4_sn84021903_00414187432_1831082701_0135,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3586541,0.009935572,0.6204708,0.005960176,0.00497928
1831,2_1831-05-11_p3_sn84021903_00414187432_1831051101_0070,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9913203,0.0031037587,0.002258041,0.001804568,0.0015133066
1831,34_1831-06-09_p3_sn84020071_00414182938_1831060901_0495,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00904948,0.4788803,0.5055119,0.0035699182,0.0029885094
1831,16_1831-05-18_p2_sn87062070_0039334295A_1831051801_0243,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6894465,0.01702253,0.012707049,0.010183062,0.27064082
1831,15_1831-08-04_p4_sn84020071_00414182938_1831080401_0528,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99554086,0.0015541436,0.0011691696,0.00094410207,0.00079178147
1831,37_1831-07-13_p3_sn87062070_0039334295A_1831071301_0276,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8872714,0.039281987,0.02978841,0.023742726,0.019915566
1831,3_1831-11-17_p2_sn84020071_00414182938_1831111701_0584,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009921818,0.00065893575,0.00049371656,0.00039461386,0.98853093
1831,27_1831-12-24_p3_sn84021903_00414187432_1831122401_0202,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012590986,0.00082458806,0.27155596,0.00049188006,0.72586846
1831,42_1831-10-20_p3_sn84020071_00414182938_1831102001_0569,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44189146,0.014101444,0.5285834,0.008384484,0.0070392326
1831,21_1831-02-09_p2_sn84021903_00414187432_1831020901_0025,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050560944,0.00096096663,0.0007099231,0.0005680723,0.9472001
1831,15_1831-05-12_p3_sn84020071_00414182938_1831051201_0479,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11818722,0.8634839,0.007411189,0.005939918,0.004977805
