year,id,word_count,cooccur_topic2_house,cooccur_topic3_bank,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic4_good,smallpox_sick_cooccurrences,cooccur_topic2_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic4_street,cooccur_topic1_court,cooccur_topic2_york,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic4_medicine,cooccur_topic2_mile,cooccur_topic1_county,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic4_disease,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic4_sale,cooccur_topic3_people,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic2_john,cooccur_topic3_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1836,8_1836-07-15_p2_sn87062070_0039334295A_1836071501_1135,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14632632,0.00067363796,0.7143566,0.00039134486,0.13825205
1836,24_1836-10-14_p3_sn87062070_0039334295A_1836101401_1188,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11583368,0.7377205,0.05926545,0.047390014,0.0397904
1836,15_1836-07-08_p2_sn87065592_00415662385_1836070801_0391,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28218806,0.01720205,0.012783645,0.01020824,0.67761797
1836,55_1836-05-20_p4_sn87062070_0039334295A_1836052001_1105,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7674598,0.20515136,0.011015352,0.008900737,0.0074727763
1836,3_1836-12-24_pNone_sn82016416_00271744730_1836122401_0485,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21054268,0.027604682,0.019818354,0.72873026,0.013304049
1836,35_1836-01-22_p4_sn87062070_0039334295A_1836012201_1037,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9726015,0.009855606,0.007061774,0.0057019936,0.004779092
1836,24_1836-10-20_p3_sn84020071_0041418294A_1836102001_0385,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9760116,0.008345021,0.0062956074,0.0050828676,0.0042649494
1836,4_1836-04-22_p3_sn87062070_0039334295A_1836042201_1088,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8039949,0.1728925,0.00932574,0.00749787,0.006289002
1836,22_1836-11-11_p3_sn87062070_0039334295A_1836111101_1204,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72544146,0.21122491,0.06250373,0.0004513521,0.00037847768
1836,7_1836-07-01_p2_sn87062070_0039334295A_1836070101_1127,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010862944,0.00067109044,0.9974999,0.00040400052,0.0003387407
1836,21_1836-11-10_p1_sn84020071_0041418294A_1836111001_0395,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013389506,0.48305783,0.006566689,0.49255753,0.0044284384
1836,28_1836-09-06_p1_sn87065592_00415662385_1836090601_0416,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4440734,0.014161136,0.52633256,0.008389825,0.00704301
1836,2_1836-09-23_p3_sn87062070_0039334295A_1836092301_1176,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18406305,0.18789615,0.5805452,0.0016584197,0.04583712
1836,9_1836-10-21_p4_sn87062070_0039334295A_1836102101_1193,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028460063,0.41977498,0.5755844,0.0009759238,0.0008187173
1836,5_1836-07-08_p4_sn87062070_0039334295A_1836070801_1133,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016937793,0.0011306236,0.0008558403,0.9957401,0.0005796668
1836,9_1836-05-20_p2_sn87062070_0039334295A_1836052001_1103,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5990492,0.01572779,0.011883831,0.0095153535,0.36382383
1836,8_1836-04-29_p3_sn87062070_0039334295A_1836042901_1092,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02175024,0.0029223263,0.9721293,0.0017400824,0.001457985
1836,31_1836-01-15_p4_sn87062070_0039334295A_1836011501_1033,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012910684,0.43234944,0.5459938,0.0047637825,0.003982229
1836,3_1836-09-27_p2_sn87065592_00415662385_1836092701_0425,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005130863,0.0032465411,0.0024901323,0.0019793871,0.9871531
1836,16_1836-11-17_p1_sn84020071_0041418294A_1836111701_0399,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009887891,0.24062175,0.00045338133,0.008066187,0.7498699
1836,12_1836-05-27_p1_sn87062070_0039334295A_1836052701_1106,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022409303,0.000842319,0.8619663,0.000506889,0.11427527
1836,2_1836-01-08_p2_sn87062070_0039334295A_1836010801_1027,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075355754,0.00048480768,0.9982235,0.0002926274,0.00024548668
1836,28_1836-08-09_p2_sn87065592_00415662385_1836080901_0407,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33159873,0.5878263,0.0068042832,0.06917101,0.004599688
1836,30_1836-06-24_p2_sn87065592_00415662385_1836062401_0383,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39775673,0.58762115,0.0058897543,0.004750369,0.0039820154
1836,5_1836-12-19_p3_sn92051568_00414219408_1836121901_0021,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036865254,0.0022436783,0.9916195,0.0013330556,0.0011172586
1836,9_1836-01-29_p4_sn87062070_0039334295A_1836012901_1041,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01443928,0.96990854,0.00629725,0.0050903964,0.0042645717
1836,13_1836-12-16_p2_sn87062070_0039334295A_1836121601_1223,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014046103,0.3368125,0.6404074,0.0047493586,0.0039846827
