year,id,word_count,cooccur_topic1_house,smallpox_burial_cooccurrences,cooccur_topic5_price,cooccur_topic3_would,cooccur_topic5_good,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_stock,cooccur_topic2_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic2_ship,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic1_county,cooccur_topic5_assortment,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic4_every,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic1_said,cooccur_topic5_sale,cooccur_topic3_time,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1846,17_1846-06-05_p3_sn83030313_00271742939_1846060501_0682,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42794812,0.40712383,0.15553296,0.0051155435,0.0042795837
1846,13_1846-08-14_p2_sn82014769_00415661010_1846081401_0018,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007021868,0.07810887,0.91018146,0.0025510264,0.0021367387
1846,19_1846-05-01_p4_sn82003410_00415661162_1846050101_0472,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037144283,0.12788598,0.2039752,0.14797357,0.5164509
1846,13_1846-10-03_p3_sn82014769_00415661010_1846100301_0193,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010825102,0.0071278797,0.005338108,0.0043144394,0.97239447
1846,30_1846-12-31_p4_sn84020566_0041418747A_1846123101_0101,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043622563,0.0029244244,0.002212717,0.989005,0.0014956337
1846,36_1846-06-27_p4_sn82003410_00415661162_1846062701_0668,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21092257,0.0047693662,0.0035823812,0.0028575214,0.77786815
1846,23_1846-03-27_p1_sn82014769_00415661022_1846032701_0347,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006362116,0.00411089,0.0030937444,0.0025005538,0.98393273
1846,5_1846-04-29_p1_sn82007022_00393342882_1846042901_0519,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8799631,0.116932586,0.0012550299,0.0010066926,0.0008425127
1846,7_1846-06-13_p4_sn82014769_00415661022_1846061301_0622,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026905297,0.32479388,0.0012146968,0.67048126,0.00081962644
1846,19_1846-03-25_p3_sn82014751_00513688210_1846032501_0061,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9926583,0.0025512204,0.0019381127,0.0015517606,0.0013005462
