year,id,word_count,cooccur_topic5_church,smallpox_kill_cooccurrences,smallpox_plague_cooccurrences,smallpox_sick_cooccurrences,cooccur_topic4_train,smallpox_grave_cooccurrences,smallpox_outbreak_cooccurrences,smallpox_perish_cooccurrences,smallpox_mortality_cooccurrences,cooccur_topic3_state,cooccur_topic4_steamship,cooccur_topic3_party,cooccur_topic2_house,cooccur_topic5_said,smallpox_burial_cooccurrences,smallpox_epidemic_cooccurrences,smallpox_fatality_cooccurrences,smallpox_infection_cooccurrences,smallpox_contagion_cooccurrences,cooccur_topic1_county,cooccur_topic4_york,cooccur_topic5_time,smallpox_casualty_cooccurrences,cooccur_topic5_would,smallpox_death_cooccurrences,smallpox_disease_cooccurrences,smallpox_endemic_cooccurrences,smallpox_suffering_cooccurrences,smallpox_victim_cooccurrences,smallpox_afflicted_cooccurrences,smallpox_succumb_cooccurrences,cooccur_topic1_city,cooccur_topic3_people,cooccur_topic1_street,cooccur_topic4_sale,smallpox_case_cooccurrences,cooccur_topic5_upon,smallpox_died_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_obituary_cooccurrences,cooccur_topic4_market,cooccur_topic2_good,cooccur_topic2_year,smallpox_deceased_cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1872,46_1872-07-09_p2_sn84022991_00513688076_1872070901_0636,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024454366,0.27782017,0.6954375,0.0011637164,0.001124226
1872,54_1872-08-02_p3_sn84026536_00295879130_1872080201_0532,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060085002,0.004029313,0.0029434932,0.85073,0.13628866
1872,20_1872-12-02_p11_sn83030313_00271743804_1872120201_0816,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9715686,0.010082935,0.0073920847,0.0059626666,0.0049936473
1872,15_1872-03-05_pNone_sn83030214_00206531113_1872030501_0465,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97563124,0.008695598,0.0063164197,0.0050940868,0.004262618
1872,5_1872-08-24_p2_sn84020594_00271742538_1872082401_0929,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14681534,0.0040068207,0.8448492,0.0023570748,0.001971471
1872,43_1872-09-28_p2_sn85052141_00202195301_1872092801_0548,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10678263,0.88129085,0.0048349714,0.0038605712,0.0032310653
1872,45_1872-11-16_p4_sn84020594_00271742538_1872111601_1226,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92379475,0.027334917,0.019679252,0.015887432,0.013303677
1872,14_1872-10-11_p1_sn84020594_00271742538_1872101101_1096,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70697355,0.005258025,0.0038183052,0.0030633635,0.28088674
1872,2_1872-07-06_p10_sn83030313_00271743798_1872070601_0078,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121208124,0.060485333,0.0014387317,0.115921006,0.7009468
1872,98_1872-04-30_p2_sn84020594_00271742538_1872043001_0438,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33305728,0.003687659,0.6591432,0.002236149,0.0018756859
1872,40_1872-12-22_p8_sn83030313_00271743804_1872122201_1059,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027948613,0.71427226,0.0013652395,0.0010951675,0.28047243
1872,33_1872-10-13_p15_sn83030313_00271743804_1872101301_0182,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52349097,0.44455138,0.012868915,0.010390943,0.008697847
1872,2_1872-04-24_p1_sn84020594_00271742538_1872042401_0417,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49283516,0.32071233,0.0019378071,0.18320927,0.0013054294
1872,7_1872-02-17_p2_sn85025202_0027955730A_1872021701_0495,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07911178,0.0018669474,0.77946293,0.13864009,0.00091819064
1872,39_1872-10-04_p2_sn83030313_00271743804_1872100401_0053,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5935671,0.38731217,0.0077086003,0.006207979,0.005204259
1872,45_1872-07-03_p3_sn84026837_0027174254A_1872070301_0347,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2436636,0.0075635593,0.39486483,0.35023645,0.0036715374
1872,54_1872-11-06_p5_sn83030214_00206531125_1872110601_0491,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9199255,0.027831895,0.02101761,0.017055482,0.01416945
1872,15_1872-10-29_p10_sn83030313_00271743804_1872102901_0387,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46616676,0.0023698062,0.17755228,0.35274845,0.0011627962
1872,35_1872-07-23_p3_sn84022991_00513688076_1872072301_0645,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96897715,0.010926832,0.008127749,0.00650781,0.0054605817
1872,30_1872-09-14_p8_sn83030214_00206531125_1872091401_0110,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16792656,0.27882504,0.0055044293,0.057158154,0.49058586
1872,12_1872-10-18_p2_sn84027718_00271763803_1872101801_0304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32633564,0.06746348,0.025094176,0.0004819276,0.58062476
1872,68_1872-07-08_p4_sn84026837_0027174254A_1872070801_0360,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9645694,0.012298206,0.009319887,0.0075169327,0.0062956023
1872,72_1872-07-17_p4_sn84026837_0027174254A_1872071701_0393,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1511458,0.7105266,0.13178773,0.0035573046,0.002982573
1872,6_1872-02-15_p6_sn83030214_00206531113_1872021501_0340,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057797704,0.004112819,0.0030848847,0.9329407,0.0020639233
1872,31_1872-09-03_p4_sn92053941_00295873607_1872090301_0466,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031311784,0.30142525,0.016208338,0.64016724,0.010887376
1872,28_1872-11-19_p2_sn84022991_00513688076_1872111901_0693,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93738145,0.0219952,0.01651534,0.013134692,0.01097333
