year,id,word_count,cooccur_topic2_church,cooccur_topic3_time,smallpox_death_cooccurrences,smallpox_epidemic_cooccurrences,cooccur_topic1_city,cooccur_topic5_people,smallpox_sick_cooccurrences,cooccur_topic1_county,cooccur_topic4_train,smallpox_plague_cooccurrences,cooccur_topic4_house,cooccur_topic2_made,smallpox_burial_cooccurrences,cooccur_topic4_year,smallpox_outbreak_cooccurrences,smallpox_pandemic_cooccurrences,cooccur_topic4_street,cooccur_topic5_would,cooccur_topic3_little,cooccur_topic3_good,smallpox_died_cooccurrences,cooccur_topic5_state,cooccur_topic2_said,cooccur_topic5_party,cooccur_topic4_sale,cooccur_topic5_york,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1874,37_1874-03-31_p3_sn84022991_00513688076_1874033101_0962,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47457957,0.009908383,0.1675711,0.3429345,0.0050064134
1874,13_1874-07-11_p2_sn84026820_00271765289_1874071101_0125,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8242202,0.16159077,0.0057215784,0.004605366,0.0038621158
1874,48_1874-05-20_p3_sn86053573_00294558317_1874052001_0279,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11534735,0.8635606,0.008542735,0.0068338676,0.005715516
1874,34_1874-11-27_p2_sn83030313_00271743889_1874112701_0760,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017327555,0.010747801,0.4862368,0.48023152,0.0054562916
1874,10_1874-01-15_p3_sn84020071_00393347260_1874011501_0425,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9845103,0.005483668,0.004040688,0.0032455968,0.0027196994
1874,36_1874-12-15_p10_sn83030214_00206531198_1874121501_0660,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026617635,0.37501842,0.0012915365,0.001036205,0.6199921
1874,33_1874-03-19_p1_sn84026837_00271740372_1874031901_0286,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01225371,0.0075856103,0.1268768,0.849543,0.003740854
1874,45_1874-05-08_p1_sn83030214_00206531174_1874050801_0317,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034344476,0.024213774,0.017770333,0.014244104,0.90942734
1874,25_1874-05-02_p2_sn82014998_00279557840_1874050201_0293,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98013407,0.006959809,0.005201645,0.0041910117,0.0035134398
1874,46_1874-12-03_p3_sn84027398_00279528438_1874120301_0616,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3286092,0.03348243,0.6002751,0.020496422,0.017136872
