year,n_articles,total_word_count,topic1_total,topic2_total,topic3_total,topic4_total,topic5_total,topic1_avg_prob,topic2_avg_prob,topic3_avg_prob,topic4_avg_prob,topic5_avg_prob,total_smallpox_death_cooccurrences,estimated_deaths
1900,111897,7486764,135,108,59,64,130,0.22551360343649166,0.18141446223827004,0.1693275227000655,0.22232963249243293,0.2014147790550449,35,232
1901,146864,10444290,190,166,72,116,188,0.23191408803257837,0.18203013839750246,0.18647777698801996,0.2159758441157844,0.18360215257028467,42,2905
1902,141793,9671308,161,178,100,170,213,0.22632634569624438,0.18124344215002172,0.1847339885617972,0.22565819558943034,0.18203802806811942,36,5327
1903,131968,8751858,70,74,32,57,110,0.22870984295388994,0.18028167748640417,0.19130730835896326,0.2284954088842709,0.17120576222976303,23,1255
1904,134086,8598118,41,40,16,35,58,0.22699777328317042,0.1823154118452607,0.1915469984573844,0.22185172062362124,0.17728809579089538,9,695
1905,163513,10912517,17,43,45,46,38,0.22320922401580562,0.174177610590994,0.19459125999460494,0.2532294454853369,0.1547924599342825,14,481
1906,168364,11451620,11,46,34,64,34,0.22719648686990185,0.1714105932377649,0.20952089992030384,0.23872797124732623,0.15314404876639168,20,173
1907,171461,11553956,2,34,32,33,24,0.22120493378267206,0.17240422985890616,0.20882614775756161,0.24188163327859097,0.1556830555001974,9,112
1908,184287,12373174,11,31,24,43,47,0.21560272943895295,0.17263604020524065,0.21357003138208394,0.2326780376028261,0.1655131614900729,9,116
1909,192622,12926125,8,20,37,60,36,0.219507571297556,0.1766765655670927,0.19160290429423144,0.24496044745725593,0.16725251146691028,3,107
1910,168426,11099473,37,33,12,40,81,0.26270703670936196,0.2424694077724759,0.1755877180951513,0.11488640201223298,0.2043494354227609,24,356
1911,151025,9810091,34,47,8,27,102,0.26260528174488573,0.22133362975637158,0.18677620121683922,0.12127116482957197,0.20801372249042413,16,115
1912,177414,11316257,27,57,12,44,66,0.26448006133371965,0.21864683341972646,0.18029729469253994,0.11577983298454203,0.22079597776692325,10,203
1913,182220,11209334,37,28,14,28,85,0.27198765183380746,0.22727350007401856,0.1754754629508043,0.1152791436616848,0.2099842415542309,9,176
1914,193190,12091296,75,53,23,58,111,0.266511344945689,0.21651310565577808,0.17672712712070449,0.10857122622965099,0.23167719608910026,12,172
1915,187865,11730113,13,15,26,37,47,0.2438983979280694,0.19680312707584297,0.221095177814626,0.16370085630486472,0.17450244092186087,17,104
1916,183879,11315654,9,24,32,20,44,0.23414476830265277,0.1928753399705796,0.2339589970149618,0.16181866063521338,0.17720223430052073,5,91
1917,181075,11118573,28,30,78,34,33,0.22059645273137593,0.1900486974354621,0.22113626353923058,0.16982220745321647,0.198396378990523,15,209
1918,192010,12573199,23,48,92,32,47,0.21290053508293444,0.1799153643239407,0.2129440502635456,0.161715321967261,0.23252472825269066,9,249
1919,198119,12742764,13,19,28,28,36,0.23312659477091574,0.19169967662661655,0.2134762016239386,0.1609429180857864,0.2007546089953945,13,196
1920,204119,13301251,13,72,51,49,73,0.1993742670599898,0.1820820361059089,0.20330248220859806,0.21923393176066758,0.19600728302307086,21,313
1921,233411,16061811,10,55,75,43,39,0.19680346068488377,0.1662637664510097,0.21868803581504462,0.2248638799926369,0.19338085711044836,13,395
1922,240597,16815114,16,75,101,90,99,0.19524879807833687,0.16540658594037017,0.2232973101724766,0.23331993505147036,0.18272737077602666,28,657
1923,88037,5704407,0,8,18,16,21,0.20427028839667472,0.17015634531135604,0.2277566694068845,0.21869255736606913,0.17912413957697038,5,154
1924,84552,5642257,22,50,40,33,50,0.2079595862090937,0.17347806241379354,0.22099758866471533,0.22823810440093953,0.16932665854682266,10,1358
1925,66232,4267205,21,34,11,32,28,0.3037592771293425,0.13069696334335154,0.228475918241035,0.17563146516566133,0.16143637604395986,9,971
1926,62376,4003856,12,4,0,8,16,0.3004193643859327,0.1458734678532139,0.21803519990245834,0.17025096945675774,0.165420998361141,7,528
1927,50483,3261802,7,5,2,8,14,0.30353541974343995,0.14801009382766953,0.21489215223131802,0.16722873637565958,0.1663335978370931,0,125
1928,48730,3208221,25,7,21,12,9,0.30471255077902254,0.14360739538987854,0.21359220313201271,0.1717875143722015,0.16630033692298235,3,97
1929,42190,2565418,1,1,0,1,2,0.2829471595020007,0.1579051431046331,0.22375253907440787,0.16833758102035695,0.16705757754275966,0,111
1930,49269,3083664,2,3,16,8,10,0.23547879560989024,0.20945192516706407,0.15672843138962228,0.2272656073717041,0.17107524039570704,7,149
1931,49381,3143424,1,3,10,1,8,0.22450481238705577,0.20722099058957086,0.1695126261901865,0.228295413225591,0.17046615806550577,0,52
1932,66461,4543241,0,0,2,0,1,0.22521640753371436,0.20278776252300706,0.1769130892381278,0.22051951166742031,0.1745632287248347,0,16
1933,64238,4531395,1,5,5,1,6,0.2093321511598518,0.20060030019551323,0.1989288985181945,0.22755069532092112,0.1635879547204091,0,24
1934,65434,4623754,1,0,3,1,1,0.21535855742847707,0.1999766295903408,0.18881305255388955,0.23443743242228915,0.16141432824652854,1,5
1935,63555,4419487,1,10,6,8,0,0.24496275667126313,0.18529162974497318,0.20117419760667202,0.22599060670204657,0.1425808095169798,1,9
1936,66201,4465358,1,5,13,3,0,0.24667045034493307,0.17670928776499145,0.20418343061964972,0.22257191791317912,0.1498649128795467,2,16
